City,Date time,newCases,newDeaths,cumCases,cumDeaths
London,3/1/2020,0,0,,
London,3/2/2020,0,0,,
London,3/3/2020,0,0,,
London,3/4/2020,0,0,,
London,3/5/2020,0,0,,
London,3/6/2020,0,0,,
London,3/7/2020,0,0,,
London,3/8/2020,0,0,,
London,3/9/2020,0,0,,
London,3/10/2020,0,0,,
London,3/11/2020,0,0,,
London,3/12/2020,0,0,,
London,3/13/2020,0,0,,
London,3/14/2020,0,0,,
London,3/15/2020,0,0,,
London,3/16/2020,0,0,,
London,3/17/2020,0,0,,
London,3/18/2020,0,0,,
London,3/19/2020,0,0,,
London,3/20/2020,0,0,,
London,3/21/2020,0,0,,
London,3/22/2020,0,0,,
London,3/23/2020,0,0,,
London,3/24/2020,0,0,,
London,3/25/2020,0,0,,
London,3/26/2020,0,0,,
London,3/27/2020,0,0,,
London,3/28/2020,0,0,,
London,3/29/2020,0,0,,
London,3/30/2020,0,0,,
London,3/31/2020,0,0,,
London,4/1/2020,0,0,,
London,4/2/2020,0,0,,
London,4/3/2020,0,0,,
London,4/4/2020,0,0,,
London,4/5/2020,0,0,,
London,4/6/2020,0,0,,
London,4/7/2020,0,0,,
London,4/8/2020,0,0,,
London,4/9/2020,0,0,,
London,4/10/2020,0,0,,
London,4/11/2020,0,0,,
London,4/12/2020,0,0,,
London,4/13/2020,0,0,,
London,4/14/2020,0,0,,
London,4/15/2020,0,0,,
London,4/16/2020,0,0,0,
London,4/17/2020,704,0,704,
London,4/18/2020,689,0,1393,
London,4/19/2020,453,0,1846,
London,4/20/2020,297,0,2143,
London,4/21/2020,418,0,2561,
London,4/22/2020,280,0,2841,
London,4/23/2020,415,0,3256,
London,4/24/2020,296,0,3552,
London,4/25/2020,278,0,3830,
London,4/26/2020,267,0,4097,
London,4/27/2020,225,0,4322,
London,4/28/2020,146,0,4468,
London,4/29/2020,111,0,4579,
London,4/30/2020,207,0,4786,
London,5/1/2020,180,0,4966,
London,5/2/2020,223,0,5189,
