City,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
Glasgow,3/1/2020,6.8,2.9,4.7,-2.8,,19.54,0,0,34.5,235.5,56.4,7.4,68.8,85.8,"Rain, Partially cloudy"
Glasgow,3/2/2020,6,1.3,3.8,-2.7,,4,0,0,19.1,224.13,33.3,10.3,39.6,84.1,"Rain, Partially cloudy"
Glasgow,3/3/2020,7.7,3,4.9,-1.6,,2.53,0,0,20.2,246,32.2,10,49,84.29,"Rain, Partially cloudy"
Glasgow,3/4/2020,8.1,-0.5,3.2,-1.6,,0.4,0,0,10.6,189.25,,10.3,42.7,84.63,"Rain, Partially cloudy"
Glasgow,3/5/2020,6.8,-0.1,2.5,-1.7,,0.87,0,0,5.3,172.29,,8.4,65.3,89.7,"Rain, Partially cloudy"
Glasgow,3/6/2020,6.9,-1.4,2.6,-3.3,,0.37,0,0,14,226.33,,7.9,51.4,90.21,"Rain, Partially cloudy"
Glasgow,3/7/2020,10.8,1.4,7.8,-0.4,,5.35,0,0,28.7,195.75,45,6.1,86.1,92.08,"Rain, Overcast"
Glasgow,3/8/2020,9.9,4,6.9,-0.3,,10.7,0,0,28.7,228.54,42.7,10.3,66,84.21,"Rain, Partially cloudy"
Glasgow,3/9/2020,9.1,3.9,6.4,-0.6,,8.49,0,0,20.8,219.25,41.4,7.7,62.3,89.98,"Rain, Partially cloudy"
Glasgow,3/10/2020,9.7,4.1,7.9,-0.4,,9.61,0,0,23.4,244.96,39.1,7.3,67,84.65,"Rain, Partially cloudy"
Glasgow,3/11/2020,7.9,2.1,5.5,-2.1,,6.58,0,0,29.8,224.83,43.7,8.6,58.7,81.14,"Rain, Partially cloudy"
Glasgow,3/12/2020,7.7,1,4.1,-4.5,,12.16,0,0,27.1,237.17,42,8.2,69,86.54,"Rain, Partially cloudy"
Glasgow,3/13/2020,6.9,0.2,4,-2.4,,1.61,0,0,13.8,147.92,,11.7,40.1,76.91,"Rain, Partially cloudy"
Glasgow,3/14/2020,9.8,3.1,6.5,0.2,,6.82,0,0,25.6,149.29,42.5,8.3,66.3,85.79,"Rain, Partially cloudy"
Glasgow,3/15/2020,9.6,5,7.4,0.8,,5.05,0,0,25.3,245.71,41.4,9.9,65.4,82.94,"Rain, Partially cloudy"
Glasgow,3/16/2020,8.8,1.1,5.7,-1.7,,4.3,0,0,30.8,215.54,43.4,8.7,63.8,86.57,"Rain, Partially cloudy"
Glasgow,3/17/2020,8.9,5.8,7.3,1.6,,10.47,0,0,19.4,235.83,40.3,7.9,59.1,86.15,"Rain, Partially cloudy"
Glasgow,3/18/2020,6.6,2.4,4.6,-1.7,,4.32,0,0,17.8,248.83,,9.7,37.2,82.48,"Rain, Partially cloudy"
Glasgow,3/19/2020,8.9,0.4,5.1,-1.9,,0.6,0,0,11,278.42,,11,41.7,77.47,"Rain, Partially cloudy"
Glasgow,3/20/2020,9,-2.8,3.1,-4.7,,0.2,0,0,15.4,151.33,,11.8,16.4,76.32,Rain
Glasgow,3/21/2020,8.9,2,5.2,-2,,0,0,0,18.8,98.42,,12.7,24.4,66.14,Clear
Glasgow,3/22/2020,9.9,-0.8,4.1,-4,,0,0,0,10.1,143.42,,9.3,10.1,71.99,Clear
Glasgow,3/23/2020,10.8,-1.1,5.8,-3.7,,0,0,0,19.7,153.92,34.4,8.1,17.9,71.55,Clear
